Name,y,sr,Tempo,Energy,Median_Bass_Interval
pariscollides.mp3,"[ 5.1055554e-07  1.5715119e-06  2.9533976e-07 ...  2.0881298e-06
 -3.2654484e-06  5.2554543e-07]",22050,117,0.26676425,0.25541950113378675
lost2.mp3,"[ 0.01272252  0.07395816 -0.03009275 ...  0.          0.
  0.        ]",22050,136,0.38643798,0.23219954648526198
haciaelfondo.mp3,"[1.8281043e-03 1.9341409e-03 1.0876954e-03 ... 7.1975114e-06 4.3388345e-06
 5.3231834e-06]",22050,123,0.34775206,0.2321995464852762
darkclouds.mp3,"[-9.1662705e-03  2.3710728e-04 -1.6253293e-02 ... -1.0408341e-17
 -7.4246165e-16  3.6429193e-17]",22050,136,0.32653937,0.11609977324263099
lost1.mp3,"[ 8.7465812e-04 -3.5047838e-03 -2.5318591e-03 ...  3.0959200e-07
  4.1426983e-07  4.8420986e-07]",22050,129,0.2871928,0.23219954648526198
lifetime.mp3,"[-2.5468622e-04 -2.3290273e-04 -2.4526345e-04 ... -8.5883992e-05
 -1.3729658e-05  2.5685727e-05]",22050,136,0.2598098,0.23219954648526198
light.mp3,"[-7.1097411e-06  6.5156200e-09 -1.8717074e-06 ...  3.4756094e-06
 -1.1794409e-06  5.8568266e-06]",22050,123,0.22324307,0.13931972789116287
cola.mp3,"[-6.6310167e-07  2.2649765e-06  5.1930547e-06 ...  1.2406765e-05
 -2.8004688e-06 -4.1520548e-06]",22050,123,0.25958183,0.23219954648524777
apollo.mp3,"[-6.6435746e-13  5.2580162e-13  5.1691984e-13 ... -0.0000000e+00
  0.0000000e+00 -0.0000000e+00]",22050,136,0.34958586,0.44117913832198496
sweetdisposition.mp3,[ 0. -0.  0. ...  0.  0.  0.],22050,123,0.21674421,0.2321995464852762
pointofnoreturn.mp3,[ 0. -0.  0. ...  0. -0.  0.],22050,123,0.20361523,0.25541950113378675
children.mp3,"[-2.3960083e-06 -1.5644413e-05 -2.1890006e-05 ... -1.3463723e-05
 -1.5403237e-05 -8.4580124e-06]",22050,123,0.20722885,0.1160997732426381
alive.mp3,"[-6.3507359e-06 -1.3523768e-05 -1.0916339e-05 ...  0.0000000e+00
 -0.0000000e+00  0.0000000e+00]",22050,123,0.21078251,0.25541950113378675
lostinmymind.mp3,"[ 7.0769056e-06  1.1412067e-05  9.3336785e-06 ... -1.3651492e-06
 -9.2492698e-08  7.4290699e-07]",22050,123,0.21871644,0.3482993197279143
laylow.mp3,"[-0.00450122 -0.00705776  0.00112191 ... -0.          0.
 -0.        ]",22050,123,0.3375873,0.23219954648524777
